,asshai,astapor,lannisport,meereen,qarth,yunkai,riverrun,winterfell,king's_landing,casterly_rock,bear_island,iron_islands,castle_black,fist_of_the_first_men,vaes_dothrak,eyrie,braavos,pentos,dragonstone
asshai,0,1.06697191857,0.948419341169,0.891247500491,0.672330939654,0.655392085739,1.02485621128,1.01228241474,0.784059771028,0.762590089651,0.932881093929,1.05234956551,1.15719674814,1.03536281005,0.899714205319,1.06684314073,0.619178471665,0.879202447823,0.99472077077
astapor,1.06697191857,0,0.835253669764,0.598492187587,0.725692231915,0.692342466029,1.15484549163,1.12225939647,1.00388872418,1.20312442711,1.15128986057,1.09117195342,0.702640999454,0.944653489584,1.05234455626,1.31784031803,0.685813133533,0.936811394587,1.04546006104
lannisport,0.948419341169,0.835253669764,0,0.756181148571,0.943149360289,0.950600359198,0.735598703885,0.617036310346,0.621327301697,0.697641722494,0.817771369935,0.798041173094,0.696975068354,0.630698028927,0.860128584609,0.659736675926,0.774866184578,0.79313311363,0.692716315911
meereen,0.891247500491,0.598492187587,0.756181148571,0,0.593433293778,0.311969128764,0.983155933141,0.697438802082,0.52195987017,0.84986859979,0.908850883269,0.794216457766,0.58878888118,1.00313580232,0.751882917967,0.863082105424,0.868383209522,0.756822679061,0.626041800093
qarth,0.672330939654,0.725692231915,0.943149360289,0.593433293778,0,0.434261296601,1.00671412749,0.905237192127,0.493031375065,0.746167515816,0.867040864197,0.719338734608,0.835616201274,0.900779265591,0.825568897319,1.05751198832,0.642934663333,0.85584480004,0.933764071914
yunkai,0.655392085739,0.692342466029,0.950600359198,0.311969128764,0.434261296601,0,1.19665900292,0.926578278044,0.58678174187,0.837755778937,0.943885913863,0.842741644394,0.806717967073,1.11777131016,0.912499698566,1.11547129621,0.659284100023,1.01678370544,0.827209761041
riverrun,1.02485621128,1.15484549163,0.735598703885,0.983155933141,1.00671412749,1.19665900292,0,0.38853669353,0.684241205231,0.320506453544,0.246935656805,0.510889598642,0.973230019257,0.590930379294,0.516086759284,0.248987639057,1.07407461263,0.467958623986,0.43283253348
winterfell,1.01228241474,1.12225939647,0.617036310346,0.697438802082,0.905237192127,0.926578278044,0.38853669353,0,0.418970078572,0.37800097826,0.390806694472,0.408902223236,0.628918448596,0.520343855917,0.563115716422,0.340779868537,1.16096914037,0.489250625886,0.424988677588
king's_landing,0.784059771028,1.00388872418,0.621327301697,0.52195987017,0.493031375065,0.58678174187,0.684241205231,0.418970078572,0,0.525908759689,0.757292453764,0.650506981433,0.714370506206,0.867792400846,0.616249470882,0.596536572018,1.00676937655,0.5516175383,0.691644286757
casterly_rock,0.762590089651,1.20312442711,0.697641722494,0.84986859979,0.746167515816,0.837755778937,0.320506453544,0.37800097826,0.525908759689,0,0.24780185944,0.402365254024,0.941090017376,0.730354110944,0.535206704779,0.368121026547,0.94322446936,0.521531936964,0.443134106931
bear_island,0.932881093929,1.15128986057,0.817771369935,0.908850883269,0.867040864197,0.943885913863,0.246935656805,0.390806694472,0.757292453764,0.24780185944,0,0.344965320535,1.01603998508,0.555660975104,0.556944201156,0.324819748598,1.05791769256,0.583988126981,0.429290555154
iron_islands,1.05234956551,1.09117195342,0.798041173094,0.794216457766,0.719338734608,0.842741644394,0.510889598642,0.408902223236,0.650506981433,0.402365254024,0.344965320535,0,0.833150462136,0.674398686015,0.577688144916,0.508642492896,1.01411150843,0.656020564567,0.574995514339
castle_black,1.15719674814,0.702640999454,0.696975068354,0.58878888118,0.835616201274,0.806717967073,0.973230019257,0.628918448596,0.714370506206,0.941090017376,1.01603998508,0.833150462136,0,0.912510978275,0.893430700743,0.765725993928,1.18297868645,0.93415296643,0.838988893548
fist_of_the_first_men,1.03536281005,0.944653489584,0.630698028927,1.00313580232,0.900779265591,1.11777131016,0.590930379294,0.520343855917,0.867792400846,0.730354110944,0.555660975104,0.674398686015,0.912510978275,0,1.01991016366,0.69688290933,0.942322537208,0.797890567098,0.772298343167
vaes_dothrak,0.899714205319,1.05234455626,0.860128584609,0.751882917967,0.825568897319,0.912499698566,0.516086759284,0.563115716422,0.616249470882,0.535206704779,0.556944201156,0.577688144916,0.893430700743,1.01991016366,0,0.755371493292,1.13977658598,0.403864242677,0.413379621068
eyrie,1.06684314073,1.31784031803,0.659736675926,0.863082105424,1.05751198832,1.11547129621,0.248987639057,0.340779868537,0.596536572018,0.368121026547,0.324819748598,0.508642492896,0.765725993928,0.69688290933,0.755371493292,0,1.25958029407,0.634951534495,0.547063447809
braavos,0.619178471665,0.685813133533,0.774866184578,0.868383209522,0.642934663333,0.659284100023,1.07407461263,1.16096914037,1.00676937655,0.94322446936,1.05791769256,1.01411150843,1.18297868645,0.942322537208,1.13977658598,1.25958029407,0,0.944756187261,1.04636081722
pentos,0.879202447823,0.936811394587,0.79313311363,0.756822679061,0.85584480004,1.01678370544,0.467958623986,0.489250625886,0.5516175383,0.521531936964,0.583988126981,0.656020564567,0.93415296643,0.797890567098,0.403864242677,0.634951534495,0.944756187261,0,0.583394263089
dragonstone,0.99472077077,1.04546006104,0.692716315911,0.626041800093,0.933764071914,0.827209761041,0.43283253348,0.424988677588,0.691644286757,0.443134106931,0.429290555154,0.574995514339,0.838988893548,0.772298343167,0.413379621068,0.547063447809,1.04636081722,0.583394263089,0
